X,Y,objectid,match_addr,company_name,nace_rev_2_code,kod,interval,odvětví,industry
16.607037185,49.1888920910001,5857,"Nové sady 988/2, 602 00, Staré Brno, Brno-střed, Brno, Brno-město, Jihomoravský kraj","BE-LIGHT, s.r.o.",47,47,10 - 19,Maloobchod,Retail trade
16.6373731370001,49.223064901,5858,"Cacovice 63/2, 614 00, Maloměřice, Brno-Maloměřice a Obřany, Brno, Brno-město, Jihomoravský kraj","BUDOMA, družstvo",4690,46,10 - 19,Velkoobchod,Wholesale trade
16.597390117,49.162632343,5859,"Bohunická 238/67, 619 00, Horní Heršpice, Brno-jih, Brno, Brno-město, Jihomoravský kraj",Reznictvía uzenárstvíJan Pavlícek s.r.o.,461,46,10 - 19,Velkoobchod,Wholesale trade
16.5242298490001,49.1796301300001,5860,"Za vodojemem 622/22, 642 00, Bosonohy, Brno-Bosonohy, Brno, Brno-město, Jihomoravský kraj",HEZKÃ DOMOV s.r.o.,3102,31,10 - 19,Rybolov,Fishing
16.6137866290001,49.199725911,5861,"Příkop 838/6, 602 00, Zábrdovice, Brno-střed, Brno, Brno-město, Jihomoravský kraj","ATX Realizace Staveb, s.r.o.",4120,41,10 - 19,Výstavba bytových a nebytových budov,Construction of residential and non-residential buildings
16.633673365,49.1740336170001,5862,"U Svitavy 1077/2, 618 00, Černovice, Brno-Černovice, Brno, Brno-město, Jihomoravský kraj",V + W ELEKTRO s.r.o.,471,47,10 - 19,Maloobchod,Retail trade
16.5737618680001,49.244404053,5863,"Hrázka 615/28, 621 00, Medlánky, Brno-Medlánky, Brno, Brno-město, Jihomoravský kraj",SEO PRAKTICKY s.r.o.,6391,63,10 - 19,"Poskytování počítačové infrastruktury, zpracování dat, hosting a ostatní informační činnosti","Computing infrastructure, data processing, hosting and other information service activities"
16.6055936540001,49.17616589,5864,"Pražákova 1008/69, 639 00, Štýřice, Brno-střed, Brno, Brno-město, Jihomoravský kraj","AGIR - Steel, s.r.o.",4120,41,10 - 19,Výstavba bytových a nebytových budov,Construction of residential and non-residential buildings
16.6117488200001,49.204546846,5865,"Vrchlického sad 1893/3, 602 00, Černá Pole, Brno-střed, Brno, Brno-město, Jihomoravský kraj",ForejtekDentalLab s.r.o.,3250,32,10 - 19,Akvakultura,Aquaculture
16.6197806120001,49.188590301,5866,"Čechyňská 419/14a, 602 00, Trnitá, Brno-střed, Brno, Brno-město, Jihomoravský kraj",Kancelár správcu v.o.s.,66,66,10 - 19,Pomocné činnosti k finančním a pojišťovacím činnostem,Activities auxiliary to financial services and insurance activities
